date,deaths,accumulative
8/19/2020,1,1
8/20/2020,1,2
8/21/2020,1,3
8/22/2020,0,3
8/23/2020,1,4
8/24/2020,1,5
8/25/2020,0,5
8/26/2020,1,6
8/27/2020,1,7
8/28/2020,1,8
8/29/2020,1,9
8/30/2020,8,17
8/31/2020,56,73
9/1/2020,143,216
9/2/2020,116,332
9/3/2020,54,386
9/4/2020,46,432
9/5/2020,36,468
9/6/2020,20,488
9/7/2020,28,516
9/8/2020,12,528
9/9/2020,11,539
9/10/2020,5,544
9/11/2020,5,549
9/12/2020,1,550
9/13/2020,3,553
9/14/2020,0,553
9/15/2020,1,554
9/16/2020,4,558
9/17/2020,2,560
9/18/2020,3,563
9/19/2020,0,563
9/20/2020,0,563
9/21/2020,2,565
9/22/2020,1,566
9/23/2020,1,567
9/24/2020,1,568
9/25/2020,1,569
9/26/2020,1,570
9/27/2020,1,571
9/28/2020,0,571
9/29/2020,0,571
